chem_code,casnum
1910,"23135-22-0  "
1912,"63449-41-2  "
1912,"68424-85-1  "
1915,"25454-50-6  "
1916,"53558-25-1  "
1918,"7320-34-5   "
1921,"25954-13-6  "
1922,"52299-20-4  "
1923,"7097-60-1   "
1924,"22781-23-3  "
1926,"8061-54-9   "
1927,"106-89-8    "
1928,"51528-03-1  "
1929,"40487-42-1  "
1930,"43222-48-6  "
1932,"9036-19-5   "
1933,"28249-77-6  "
1934,"128-03-0    "
1935,"51609-52-0  "
1936,"110-91-8    "
1937,"11099-08-4  "
1937,"126-92-1    "
1937,"75037-31-9  "
1938,"55406-53-6  "
1939,"53404-25-4  "
1941,"93-51-6     "
1943,"51350-84-6  "
1944,"50723-80-3  "
1945,"61789-77-3  "
1946,"108-83-8    "
1947,"10361-16-7  "
1949,"42588-37-4  "
1952,"28558-32-9  "
1953,"42576-02-3  "
1954,"61791-64-8  "
